Datetime,division,val
2021-07-10 오전 12:36:23,U5_A,28.1
2021-07-10 오전 12:36:23,U5_B,27.5
2021-07-10 오전 12:36:23,U6_A,31.2
2021-07-10 오전 12:36:23,U6_B,28.2
2021-07-10 오전 12:36:23,U7_A,27.6
2021-07-10 오전 12:36:23,U7_B,26.6
2021-07-10 오전 12:36:23,U8_A,30.0
2021-07-10 오전 12:36:23,U8_B,28.1
2021-07-10 오전 12:36:23,U9_A,29.9
2021-07-10 오전 12:36:23,U9_B,28.1
2021-07-10 오전 12:36:23,U10_A,30.0
2021-07-10 오전 12:36:23,U10_B,27.8
2021-07-10 오전 12:36:23,U11_A,28.9
2021-07-10 오전 12:36:23,U11_B,28.0
2021-07-10 오전 12:38:14,U0_A,29.2
2021-07-10 오전 12:38:14,U0_B,28.9
2021-07-10 오전 12:38:14,U1_A,22.8
2021-07-10 오전 12:38:14,U1_B,22.8
2021-07-10 오전 12:38:14,U2_A,22.8
2021-07-10 오전 12:38:14,U2_B,22.8
2021-07-10 오전 12:38:14,U3_A,26.6
2021-07-10 오전 12:38:14,U3_B,25.8
2021-07-10 오전 12:38:14,U4_A,26.0
2021-07-10 오전 12:38:14,U4_B,25.6
2021-07-10 오전 12:38:14,U5_A,28.1
2021-07-10 오전 12:38:14,U5_B,27.5
2021-07-10 오전 12:38:14,U6_A,31.2
2021-07-10 오전 12:38:14,U6_B,28.2
2021-07-10 오전 12:38:14,U7_A,27.6
2021-07-10 오전 12:38:14,U7_B,26.6
2021-07-10 오전 12:38:14,U8_A,30.0
2021-07-10 오전 12:38:14,U8_B,28.1
2021-07-10 오전 12:38:14,U9_A,29.9
2021-07-10 오전 12:38:14,U9_B,28.1
2021-07-10 오전 12:38:14,U10_A,30.0
2021-07-10 오전 12:38:14,U10_B,27.8
2021-07-10 오전 12:38:14,U11_A,28.9
2021-07-10 오전 12:38:14,U11_B,27.9
2021-07-10 오전 12:39:43,U0_A,29.2
2021-07-10 오전 12:39:43,U0_B,28.9
2021-07-10 오전 12:39:43,U1_A,22.8
2021-07-10 오전 12:39:43,U1_B,22.8
2021-07-10 오전 12:39:43,U2_A,22.8
2021-07-10 오전 12:39:43,U2_B,22.8
2021-07-10 오전 12:39:43,U3_A,26.6
2021-07-10 오전 12:39:43,U3_B,25.8
2021-07-10 오전 12:39:43,U4_A,26.0
2021-07-10 오전 12:39:43,U4_B,25.5
2021-07-10 오전 12:39:43,U5_A,28.1
2021-07-10 오전 12:39:43,U5_B,27.5
2021-07-10 오전 12:39:43,U6_A,31.2
2021-07-10 오전 12:39:43,U6_B,28.2
2021-07-10 오전 12:39:43,U7_A,27.6
2021-07-10 오전 12:39:43,U7_B,26.6
2021-07-10 오전 12:39:43,U8_A,30.0
2021-07-10 오전 12:39:43,U8_B,28.1
2021-07-10 오전 12:39:43,U9_A,29.9
2021-07-10 오전 12:39:43,U9_B,28.1
2021-07-10 오전 12:39:43,U10_A,30.0
